"filename", "language", "Markdown", "TypeScript", "YAML", "Docker", "Ignore", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"/home/undefined/Documents/pkl/apikom/services/images/.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/undefined/Documents/pkl/apikom/services/images/Dockerfile", "Docker", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/undefined/Documents/pkl/apikom/services/images/app.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 10, 11, 60
"/home/undefined/Documents/pkl/apikom/services/images/babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/undefined/Documents/pkl/apikom/services/images/config/config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"/home/undefined/Documents/pkl/apikom/services/images/config/sequelize.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 6, 43
"/home/undefined/Documents/pkl/apikom/services/images/controllers/image.controller.ts", "TypeScript", 0, 97, 0, 0, 0, 0, 0, 0, 1, 27, 125
"/home/undefined/Documents/pkl/apikom/services/images/docker-compose.yml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"/home/undefined/Documents/pkl/apikom/services/images/docs/images-swagger.yaml", "YAML", 0, 0, 109, 0, 0, 0, 0, 0, 0, 7, 116
"/home/undefined/Documents/pkl/apikom/services/images/helpers/deleteImages.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/undefined/Documents/pkl/apikom/services/images/helpers/getPublicId.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/undefined/Documents/pkl/apikom/services/images/helpers/images.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/undefined/Documents/pkl/apikom/services/images/helpers/initCloudinary.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/home/undefined/Documents/pkl/apikom/services/images/helpers/initDB.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/undefined/Documents/pkl/apikom/services/images/helpers/initMulter.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"/home/undefined/Documents/pkl/apikom/services/images/index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
